"Nov 01, 2023 - Nov 30, 2023",,,,,,
Top Products By Profit,,,,,,
Top Products By Quantity,,,,,,
Product,Quantity,Unit Cost,Unit Price,% Gross Sales,COGS,Gross Profit
Total,"3,076",$0.00,"$2,428.01",100.00%,$0.00,"$33,783.03"
Kathmandu Chiya Drinks,339,$0.00,$3.00,3.01%,$0.00,"$1,017.00"
"Garlic Naan Veg-Rice, Noodles and Flatbreads",199,$0.00,$5.00,2.95%,$0.00,$995.00
"Veg Hakka Noodles (Chowmein) Veg-Rice, Noodles and Flatbreads",118,$0.00,$14.00,4.89%,$0.00,"$1,652.00"
Chicken Momo - Steamed Non-Veg Mo: Mo,106,$0.00,$14.00,4.39%,$0.00,"$1,484.00"
Veg Momo Steamed Veg Mo: Mo,104,$0.00,$14.00,4.31%,$0.00,"$1,456.00"
Ranjana Galli Soda Drinks,104,$0.00,$6.00,1.85%,$0.00,$624.00
Mango Lassi Drinks,82,$0.00,$6.00,1.46%,$0.00,$492.00
"Tandoori Roti Veg-Rice, Noodles and Flatbreads",69,$0.00,$5.00,1.02%,$0.00,$345.00
Cauliflower Gobi Manchurian Veg-Appetizers,58,$0.00,$15.00,2.58%,$0.00,$870.00
Veg Thukpa Veg-Soups,58,$0.00,$14.00,2.40%,$0.00,$812.00
Veg Momo Chilli Veg Mo: Mo,48,$0.00,$15.00,2.13%,$0.00,$720.00
Veg Manchow Soup Veg-Soups,48,$0.00,$12.00,1.70%,$0.00,$576.00
"Butter Naan Veg-Rice, Noodles and Flatbreads",48,$0.00,$5.00,0.71%,$0.00,$240.00
Can Soda Drinks,48,$0.00,$3.00,0.43%,$0.00,$144.00
"Chicken Hakka Noodles Non-Veg Rice, Noodles and Flatbreads",41,$0.00,$14.00,1.70%,$0.00,$574.00
"Veg Fried Rice Veg-Rice, Noodles and Flatbreads",39,$0.00,$14.00,1.62%,$0.00,$546.00
Paneer Sizzler Veg Authentic Nepali,38,$0.00,$16.00,1.80%,$0.00,$608.00
Chicken Momo Jhol Non-Veg Mo: Mo,38,$0.00,$15.00,1.69%,$0.00,$570.00
Veg Momo Jhol Veg Mo: Mo,36,$0.00,$14.00,1.49%,$0.00,$504.00
Chicken Lollipop Non -Veg- Appetizers,34,$0.00,$16.00,1.61%,$0.00,$544.00
Chicken Momo Chilli Non-Veg Mo: Mo,34,$0.00,$16.00,1.61%,$0.00,$544.00
Samosa (2 Pieces) Veg-Appetizers,34,$0.00,$6.00,0.60%,$0.00,$204.00
Chicken Curry Non-Veg Authentic Nepali Curries,29,$0.00,$16.00,1.37%,$0.00,$464.00
Butter Chicken Non Veg Curries,29,$0.00,$16.00,1.37%,$0.00,$464.00
Chicken Tikka Masala Non Veg Curries,29,$0.00,$16.00,1.37%,$0.00,$464.00
Paneer Tikka Masala Veg Curries - Served with Rice,28,$0.00,$16.00,1.33%,$0.00,$448.00
Veg Momo Fried Veg Mo: Mo,28,$0.00,$14.00,1.16%,$0.00,$392.00
Bottled Soda Drinks,28,$0.00,$4.00,0.33%,$0.00,$112.00
Baby Corn Chilli Veg Chili Specials,26,$0.00,$15.00,1.15%,$0.00,$390.00
Goat Curry Non-Veg Authentic Nepali Curries,25,$0.00,$18.00,1.33%,$0.00,$450.00
Palak Paneer Veg Curries - Served with Rice,25,$0.00,$16.00,1.18%,$0.00,$400.00
Honey Chilli Potato Veg-Appetizers,25,$0.00,$14.00,1.04%,$0.00,$350.00
Chicken Thukpa Non-Vegetarian Soups,24,$0.00,$15.00,1.07%,$0.00,$360.00
Icecream Desserts,24,$0.00,$6.00,0.43%,$0.00,$144.00
"Plain Naan Veg-Rice, Noodles and Flatbreads",22,$0.00,$5.00,0.33%,$0.00,$110.00
Chicken Sizzler Non -Veg- Appetizers,20,$0.00,$16.00,0.95%,$0.00,$320.00
